site,panel_id,vendor_reply_class,vendor_fault_family,field_confirmed_flag,adjudication_weight,vendor_note,strict_trigger_date,first_warning_date,retrospective_onset_date,days_earlier_than_trigger,onset_confidence,onset_method,reason_summary,panel_found_in_ours,dispute_type
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,vendor_pattern_positive,diode_like,0,0.7,"입력전압 27 수준, 다른 패널 43 대비 30~40% 낮음",2024-11-26,2024-11-06,2024-11-06,20,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-09-27|first_warning=2024-11-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_group_issue
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,vendor_pattern_positive,diode_like,0,0.7,다이오드 손상으로 파악하는 경우,2025-06-08,2025-06-07,2025-06-08,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-04-09|first_warning=2025-06-07|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_group_issue
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,vendor_pattern_positive,diode_like,0,0.7,다이오드 손상으로 파악하는 경우,2025-06-08,2025-06-08,2025-06-08,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-04-09|first_warning=2025-06-08|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_group_issue
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,vendor_pattern_positive,diode_like,0,0.7,다이오드 손상으로 파악하는 경우,2025-08-16,2025-08-12,2025-08-16,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-06-17|first_warning=2025-08-12|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_group_issue
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.1.1,vendor_likely_positive,open_or_device_issue_like,0,0.5,"전압 0, 패널이나 장비 문제로 볼 수 있는 상태, 현장확인 안됨",2025-03-21,2025-01-20,2025-01-20,60,high,persistent_5of7,strict_method=confirmed_fault_flag|window_start=2025-01-20|first_warning=2025-01-20|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,vendor_likely_positive,module_damage_like,0,0.5,모듈 손상된 것 같으나 현장확인 안함,2025-02-02,2024-12-25,2025-01-25,8,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-12-04|first_warning=2024-12-25|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,vendor_likely_positive,group_or_inverter_side_like,0,0.5,"여러 장비가 0, 인버터 관련 작업 추정, O&M 정보 없음",2025-11-11,2025-09-13,2025-11-11,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2025-09-12|first_warning=2025-09-13|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,field_confirmed_positive,group_or_inverter_side_like,1,1.0,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,field_confirmed_positive,group_or_inverter_side_like,1,1.0,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,field_confirmed_positive,group_or_inverter_side_like,1,1.0,"커넥터 불량으로 인버터 하나 내려감, 현장 조치 후 복구",2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,agree_positive
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.1,vendor_rejected,none_visible,0,0.6,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,2025-01-19,2024-11-20,2024-12-23,27,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-11-20|first_warning=2024-11-20|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,ours_positive_vendor_rejected
conalog,d15b9e13-4117-49ae-a78f-7ace013e48de.0.0,vendor_rejected,none_visible,0,0.6,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,2025-02-19,2025-01-01,2025-02-19,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2024-12-21|first_warning=2025-01-01|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,ours_positive_vendor_rejected
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,vendor_rejected,none_visible,0,0.6,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,2024-12-29,2024-11-27,2024-12-29,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2024-10-30|first_warning=2024-11-27|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,ours_positive_vendor_rejected
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,vendor_rejected,none_visible,0,0.6,이상으로 보이는 것이 전혀 없어 왜 후보인지 모르겠다고 답변,2025-10-27,2025-08-28,2025-08-28,60,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-08-28|first_warning=2025-08-28|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,1,ours_positive_vendor_rejected
