fault_family,example_subtypes,required_axes,supporting_axes,blocking_axes,current_skill_status,already_present_axes,partially_present_axes,field_trial_required_axes,label_blocked_axes,current_repo_support,current_gaps,field_trial_collection_need,first_allowed_output,not_allowed_until_truth,next_gate
normal,"clear_day_baseline; expected_peer_variation","artifact_quality_skill; peer_synchrony_skill; physical_invariant_skill; existing_ae_signal; existing_dtw_signal","existing_ews_signal; existing_rule_signal","timestamp_quality_unknown; communication_status_unknown; weather_or_peer_context_missing","partial_shadow","existing_ae_signal; existing_dtw_signal; existing_ews_signal; existing_rule_signal","artifact_quality_skill; peer_synchrony_skill; physical_invariant_skill","mlpe_telemetry_state_skill","supervised_classifier_skill; survival_hazard_skill","Core raw/out fields and normal references exist, but reviewed clean negative/reference rows are not attached as truth.","No reviewed KTC ESS clean-day baseline; no returned timestamp/communication quality confirmation; no negative-control truth sidecar.","Capture stable clear-day baseline with peer panels, weather/irradiance proxy, timestamp quality, and communication status.","shadow reference/negative coverage row only","negative label, performance baseline claim, or threshold calibration anchor","normal_clear_day_baseline P0 capture gate"
panel_surface_environment_fault,"partial_shading; uniform_soiling; moving_shadow; snow_or_cover; localized_obstruction","peer_synchrony_skill; episode_state_skill; existing_dtw_signal; physical_invariant_skill; artifact_quality_skill","existing_ae_signal; existing_ews_signal; existing_rule_signal","site_common_cause_event; inverter_or_group_side_fault; measurement_or_communication_artifact","partial_shadow","existing_ae_signal; existing_dtw_signal; existing_ews_signal; existing_rule_signal","peer_synchrony_skill; episode_state_skill; physical_invariant_skill; artifact_quality_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill","Panel-day morphology, peers, and raw V/I/P support can describe candidate surface/environment loss as evidence only.","No injected/local shading or soiling labels; no injection strength/recovery ground truth; common irradiance can mimic this family.","Capture panel-local partial shading and uniform cover/soiling with strength, scope, peers, start/peak/recovery/post-event baseline.","shadow family-evidence vector only","operator-facing surface/environment label or threshold rule","partial_shading_panel_local and uniform_soiling_or_cover P0 capture gates"
panel_physical_degradation_fault,"degradation_emulation; series_resistance_degradation; crack_or_damage_proxy; hotspot_like_thermal_stress","existing_ews_signal; episode_state_skill; physical_invariant_skill; peer_synchrony_skill; artifact_quality_skill","existing_ae_signal; existing_dtw_signal; existing_rule_signal","site_common_cause_event; measurement_or_communication_artifact; insufficient_duration","partial_shadow","existing_ae_signal; existing_dtw_signal; existing_ews_signal; existing_rule_signal","episode_state_skill; physical_invariant_skill; peer_synchrony_skill; artifact_quality_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill; survival_hazard_skill","Persistence, raw V/I/P support, and voltage/current morphology can flag degradation-like hypotheses.","Independent exact-panel physical confirmation is thin; subtype truth support and threshold approval are 0.","Capture degradation emulation or field-confirmed damage with inspection/maintenance/thermal or same-panel physical evidence.","shadow degradation-evidence checklist only","degradation subtype label, durable precursor promotion, or threshold loosening","independent_physical_confirmation_gate plus subtype truth gate"
panel_electrical_submodule_fault,"bypass_diode_open; bypass_diode_short; substring_loss; cell_mismatch; voltage_preserved_current_drop","existing_dtw_signal; physical_invariant_skill; existing_rule_signal; peer_synchrony_skill; artifact_quality_skill","existing_ae_signal; existing_ews_signal; episode_state_skill","mlpe_device_or_control_fault; measurement_or_communication_artifact; inverter_or_group_side_fault","partial_shadow","existing_ae_signal; existing_dtw_signal; existing_ews_signal; existing_rule_signal","physical_invariant_skill; peer_synchrony_skill; artifact_quality_skill; episode_state_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill","Raw waveform and current frozen outputs already expose diode/submodule-like evidence, GPVS reference is available only as reference.","Exact same-panel physical confirmation and reviewed submodule labels are missing; GPVS is not a direct root-cause verdict.","Capture bypass-diode/substring loss injections with voltage/current ratio, affected electrical scope, and independent confirmation.","shadow submodule-evidence vector only","submodule root-cause verdict, GPVS-direct label, or voltage-axis threshold loosening","bypass_diode_or_substring_loss P0 capture gate and physical confirmation gate"
connection_or_open_fault,"intermittent_connection; high_contact_resistance; partial_open; full_open; connector_recovery","cp_transition_skill; episode_state_skill; physical_invariant_skill; existing_hs_signal; artifact_quality_skill","existing_dtw_signal; existing_ews_signal; existing_rule_signal; peer_synchrony_skill","mlpe_device_or_control_fault; measurement_or_communication_artifact; site_common_cause_event","partial_shadow","existing_dtw_signal; existing_ews_signal; existing_hs_signal; existing_rule_signal","cp_transition_skill; episode_state_skill; physical_invariant_skill; artifact_quality_skill; peer_synchrony_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill","Transition, recovery/re-drop, HS instability, and V/I/P shape can separate abrupt or recurring open-like behavior as audit evidence.","MLPE control and telemetry artifacts can mimic open behavior; no reviewed connection/open labels yet.","Capture high contact resistance, partial/full open, and connector recovery with start/end/recovery evidence and MLPE state clearance.","shadow connection/open timing-and-recovery table only","auto abrupt/precursor reclassification or connection subtype label","partial_open_or_full_open and high_contact_resistance_or_series_resistance P0 capture gates"
mlpe_device_or_control_fault,"optimizer_current_limit; optimizer_clipping; mppt_tracking_anomaly; rapid_shutdown_state; control_response_delay","mlpe_telemetry_state_skill; cp_transition_skill; artifact_quality_skill; physical_invariant_skill; peer_synchrony_skill","existing_dtw_signal; existing_rule_signal; episode_state_skill","panel_physical_degradation_fault; panel_electrical_submodule_fault; measurement_or_communication_artifact","field_trial_required","existing_dtw_signal; existing_rule_signal","cp_transition_skill; artifact_quality_skill; physical_invariant_skill; peer_synchrony_skill; episode_state_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill","Current raw has V/I/P/temp shape but not enough optimizer/control state to separate device behavior from panel physical fault.","Optimizer state, current-limit/clipping, MPPT, rapid shutdown, firmware/control response fields are not returned in current evidence.","Capture optimizer state, limit settings, MPPT/control state, rapid-shutdown/safety state, and injection/control metadata.","capture schema and clearance-check rows only","MLPE-control verdict, panel-physical suppression, or learned control classifier","optimizer_current_limit_or_clipping P0 gate; MPPT/rapid-shutdown P1 gates"
measurement_or_communication_artifact,"telemetry_dropout; telemetry_stuck; sensor_offset; timestamp_skew; missing_packet_burst","artifact_quality_skill; physical_invariant_skill; peer_synchrony_skill; mlpe_telemetry_state_skill","existing_hs_signal; existing_rule_signal; episode_state_skill","panel_physical_degradation_fault; panel_electrical_submodule_fault; connection_or_open_fault","partial_shadow","existing_hs_signal; existing_rule_signal","artifact_quality_skill; physical_invariant_skill; peer_synchrony_skill; episode_state_skill","mlpe_telemetry_state_skill","supervised_classifier_skill","Coverage, timestamp gaps, stale/impossible values, recovery, and raw consistency can flag artifact risk as a blocker.","Returned communication status and reviewed artifact-cleared rows are not available; artifact flags cannot delete candidates.","Capture telemetry dropout/stuck/offset/skew cases with communication status, timestamp quality, packet-loss context, and negative controls.","shadow artifact blocker/clearance flags only","dropping fault/precursor rows or marking final measurement-artifact truth","telemetry_dropout_or_stuck_value P0 capture gate and artifact clearance gate"
inverter_or_group_side_fault,"group_curtailment; string_shutdown; inverter_limit; root_level_drop; multi_panel_zero_output","peer_synchrony_skill; artifact_quality_skill; physical_invariant_skill; existing_rule_signal","cp_transition_skill; episode_state_skill; existing_ews_signal","panel-local residual missing; site_common_cause_event; measurement_or_communication_artifact","partial_shadow","existing_ews_signal; existing_rule_signal","peer_synchrony_skill; artifact_quality_skill; physical_invariant_skill; cp_transition_skill; episode_state_skill","mlpe_telemetry_state_skill","supervised_classifier_skill","Common-cause synchrony and peer/root breadth sidecars exist and can hold group-side candidates out of panel-local promotion.","Official/current bridge is 0; many rows are raw-only or date-displaced; root/inverter metadata is incomplete.","Capture group/inverter curtailment with root/string mapping, peer breadth, inverter/group state, and panel-local residual checks.","shadow group-side blocker/regression row only","common-cause semantic loosening or panel-local suppression","group_or_inverter_curtailment P0 capture gate and official/current bridge gate"
site_common_cause_event,"cloud_or_irradiance_event; site_control_action; grid_event; maintenance_window; site_wide_reference_shift","peer_synchrony_skill; artifact_quality_skill; existing_rule_signal; physical_invariant_skill","cp_transition_skill; episode_state_skill; existing_ews_signal","panel-local residual missing; inverter_or_group_side_fault; measurement_or_communication_artifact","partial_shadow","existing_ews_signal; existing_rule_signal","peer_synchrony_skill; artifact_quality_skill; physical_invariant_skill; cp_transition_skill; episode_state_skill","mlpe_telemetry_state_skill","supervised_classifier_skill","Site/root synchrony, co-drop breadth, and blocker packets exist as audit/regression material.","Exact official/current common-cause closure is 0; weather/site action metadata and negative controls are incomplete.","Capture site/root common events with cause metadata, weather/irradiance proxy, affected scope, and multi-panel synchrony.","shadow site-common-cause blocker/regression row only","automatic common-cause promotion or panel-local deletion","site_or_root_common_cause_event P0 capture gate and common-cause clearance gate"
unknown_or_compound,"overlapping_shading_plus_artifact; unclear_injection_setup; mixed_panel_and_group_event","fault_family_evidence_vector; artifact_quality_skill; peer_synchrony_skill; episode_state_skill; physical_invariant_skill","existing_ae_signal; existing_dtw_signal; existing_hs_signal; existing_ews_signal; existing_rule_signal","forced_single_family_label; missing_axis_status; conflicting_axes","label_blocked","existing_ae_signal; existing_dtw_signal; existing_hs_signal; existing_ews_signal; existing_rule_signal","fault_family_evidence_vector; artifact_quality_skill; peer_synchrony_skill; episode_state_skill; physical_invariant_skill","mlpe_telemetry_state_skill","shapelet_template_skill; supervised_classifier_skill; survival_hazard_skill","The evidence-vector design can preserve conflicting or missing axes without forcing a single root-cause family.","Compound truth examples are absent; single-family controls are not yet strong enough to adjudicate compound cases.","Capture compound cases only after single-family P0 cases exist; record all affected scopes and conflicts explicitly.","unknown/compound review bucket only","forced subtype label, threshold training row, or performance claim","compound_fault P2 gate after single-family controls"
