corpus_id,artifact_path,design_role,what_it_already_answered,how_br126_uses_it
CORPUS-001,docs/OPS_PANEL_DAY_ENGINE_PROJECT_EVAL_MATRIX_V1.md,project evaluation matrix,"Separates structural coverage metrics, true case-level metrics, and retrospective proxy metrics so precision/recall/F1 are not over-applied.",Use as the evaluation-method boundary for performance and freeze claims.
CORPUS-002,docs/OPS_PANEL_DAY_ENGINE_PROJECT_EVAL_RELIABILITY_AUDIT_V1.md,evaluation reliability audit,"Checks whether each evaluation row is freeze-ready and warns that small positive support can make perfect F1 unstable.",Use as the reliability boundary before saying a row is stable enough to freeze.
CORPUS-003,docs/OPS_PANEL_DAY_ENGINE_PROJECT_EVAL_SUPPORT_GAP_AUDIT_V1.md,support gap audit,"Quantifies how many additional positives are needed for support 5/10 and whether current artifacts can close the gap.",Use as the bridge from weak metrics to concrete data/truth needs.
CORPUS-004,docs/OPS_PANEL_DAY_ENGINE_PROJECT_TRUTH_EXPANSION_PLAN_V1.md,truth expansion plan,"Translates reliability/support gaps into action classes such as collect_new_precursor_truth_cases, collect_new_common_cause_truth_cases, collect_new_abrupt_truth_cases, and workflow_validation_not_truth.",Use as the action plan for weak truth/data axes.
CORPUS-005,docs/OPS_PANEL_DAY_ENGINE_PROJECT_TRUTH_ACQUISITION_BACKLOG_V1.md,truth acquisition backlog,"Deduplicates target-level truth needs into unique collection units: fault_case, panel_case, site_event, workflow_observation, or none.",Use as the real-world collection plan rather than over-counting target rows.
CORPUS-006,docs/OPS_PANEL_DAY_ENGINE_ALGORITHM_ROLE_GAP_PACK_V1.md,algorithm role boundary,"Splits the main event-type axis, kernel-log symptom-name axis, and GPV external-reference axis so roles are not mixed.",Use as the algorithm-role boundary for diagnosis claims.
CORPUS-007,docs/OPS_PANEL_DAY_ENGINE_PROJECT_HANDOFF_PACK_V1.md,project handoff pack,"Locks the benchmark reset/handoff reading: precursor support 3, pure abrupt support 3, common-cause support 4, and separates event interpretation from terminal abruptness.",Use as the current human-readable handoff contract.
CORPUS-008,docs/OPS_PANEL_DAY_EVIDENCE_MATRIX_V1.md,evidence matrix foundation,"Defines row-preserving panel-day evidence matrix semantics and avoids dropping rows before episode/incident layers consume them.",Use as the lower-layer evidence contract for future anomaly registry work.
CORPUS-009,docs/OPS_PANEL_DAY_ENGINE_PRECURSOR_PERFORMANCE_AUDIT_V1.md,precursor performance audit,"Documents precursor-bearing detection support as an audit layer rather than a broad production claim.",Use as the precursor metric input for reliability/support-gap interpretation.
CORPUS-010,docs/OPS_PANEL_DAY_ENGINE_NON_PRECURSOR_PERFORMANCE_AUDIT_V1.md,non-precursor performance audit,"Documents abrupt/no-precursor support separately from precursor cases and common-cause cases.",Use as the abrupt/no-precursor metric input for reliability/support-gap interpretation.
CORPUS-011,docs/OPS_PANEL_DAY_ENGINE_COMMON_CAUSE_ROUTING_GAP_AUDIT_V1.md,common-cause routing gap audit,"Documents where common-cause/group-side routing support is weak or structurally blocked.",Use as the common-cause diagnosis weakness input.
CORPUS-012,docs/OPS_TRUTH_COVERAGE_PRIORITY_AUDIT_V1.md,truth coverage priority audit,"Prioritizes truth coverage gaps before changing detector/scorer behavior.",Use as the guard against tuning before truth coverage is strong enough.
CORPUS-013,docs/OPS_SCORE_SCOPE_MANIFEST_V1.md,score scope manifest,"Separates which metrics/scores belong to which scope and prevents scope mixing.",Use as the metric-scope boundary for future scorecards.
CORPUS-014,docs/OPS_WORKSTREAM_HANDOFF_PACK_V1.md,workstream handoff pack,"Provides a broader workstream handoff layer outside individual BR docs.",Use as a navigation source when reconnecting project state across branches.
