layer_ko,metric_family_ko,metric_name,metric_value,dataset_scope_ko,official_flag,note_ko
panel multiaxis verdict,공식 frozen classification,strict_operational_overall_precision,1.0,full_algorithm_f1_summary_v3 / strict / operational / overall,1,current frozen artifact에서 직접 읽은 precision 이며 broader frozen algorithm scope 수치임. 25 panel / 6 fault explanatory sample로 일반화하면 안 됨
panel multiaxis verdict,공식 frozen classification,strict_operational_overall_recall,1.0,full_algorithm_f1_summary_v3 / strict / operational / overall,1,current frozen artifact에서 직접 읽은 recall 이며 broader frozen algorithm scope 수치임. 25 panel / 6 fault explanatory sample로 일반화하면 안 됨
panel multiaxis verdict,공식 frozen classification,strict_operational_overall_f1,1.0,full_algorithm_f1_summary_v3 / strict / operational / overall,1,current frozen artifact에서 직접 읽은 f1 이며 broader frozen algorithm scope 수치임. 25 panel / 6 fault explanatory sample로 일반화하면 안 됨
사건유형/고장양상 판단,공식 frozen scope-specific metric,precursor_current_best_f1,1.0,panel_day_engine_project_final_decision_pack_v1 / step3_precursor_performance,1,"current_best_target_name=first_cond_evt, positive_support=3.0, final_usage_decision=exploratory_only"
사건유형/고장양상 판단,공식 frozen scope-specific metric,abrupt_current_best_f1,0.5714285714285715,panel_day_engine_project_final_decision_pack_v1 / step4_abrupt_no_precursor,1,"current_best_target_name=final_fault_hit_by_anchor, positive_support=3.0, final_usage_decision=exploratory_only"
conalog 해석층,coverage/agreement,core_conalog_family_validation_pass_count,6,outputs/validation/fault_validation_report_v1.csv / core 6 fault snapshot,0,framework validation count 이며 measured field performance 전체셋으로 읽으면 안 됨
conalog 해석층,coverage/agreement,field_reviewed_row_count,0,field_validation_summary.csv / overall,1,current field validation summary 기준 reviewed_row_count 이며 아직 reviewed truth가 없으면 0 으로 남음
conalog 해석층,coverage/agreement,strict_operational_review_f1_proxy,0.666667,critical_actionability_f1_summary.csv / strict / operational_review,1,current frozen critical actionability artifact 수치이며 conalog-centered operational review proxy로만 읽어야 함
GPVS reference layer,attach coverage,external_evidence_available_count,6,panel_day_engine_gpvs_evidence_summary_v1.csv / current 6 fault sample,1,reference-only attach support count 임
GPVS reference layer,attach coverage,core_reference_count,2,panel_day_engine_gpvs_evidence_summary_v1.csv / current 6 fault sample,1,reference-only core attach count 임
GPVS reference layer,attach coverage,auxiliary_reference_count,4,panel_day_engine_gpvs_evidence_summary_v1.csv / current 6 fault sample,1,reference-only auxiliary attach count 임
GPVS reference layer,family-eval artifact,closed_world_macro_f1,0.936508,gpvs_fault_family_f1_summary.csv / closed_world / overall,1,GPVS original family-eval artifact 수치이며 current panel multiaxis verdict의 direct root-cause metric으로 읽으면 안 됨
cause candidate heuristic,triage support,fault_panel_support_count,6,panel_day_engine_cause_candidate_summary_v1.csv / current 6 fault sample,1,triage-only candidate ranking support count 임
cause candidate heuristic,triage support,core_heuristic_action_note_pass_count,6,outputs/validation/fault_validation_report_v1.csv / core 6 fault snapshot,0,framework validation support count 이며 ranking ground-truth metric은 아님
cause candidate heuristic,ranking metric,official_ranking_metric_unavailable,,current frozen artifacts,0,heuristic은 triage-only layer라 current frozen artifacts에는 official ranking metric이 없음. validation support count와 competition count로만 해석해야 함
