review_priority,promotion_decision_bucket,recommended_action,review_focus_ko,site,panel_root,panel_id,retrospective_onset_date,strict_trigger_date,gap_days,secondary_window_selected_marker,secondary_window_qualified_count,secondary_window_too_early_count,promotion_decision_reason
1,hold_shadow_only,keep_shadow_until_raw_support,DTW-only onset 근거를 raw/audit trace로 재확인하기 전까지 운영 승격 금지,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.14,,2025-10-26,0,prealarm_cond_dtw_mid_or_hi,89,408,"BR008: supported context exists, but selected onset is DTW prealarm with zero independent onset-window signal"
1,hold_shadow_only,keep_shadow_until_raw_support,DTW-only onset 근거를 raw/audit trace로 재확인하기 전까지 운영 승격 금지,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.17,,2025-10-26,0,prealarm_cond_dtw_mid_or_hi,43,428,"BR008: supported context exists, but selected onset is DTW prealarm with zero independent onset-window signal"
2,manual_review,raw_audit_trace_review,selected onset 주변 raw/audit trace와 terminal progression을 사람이 확인,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,,2025-10-27,0,pre_ews,648,67,BR008: supported context requires raw/audit review before any operator-facing promotion
2,manual_review,raw_audit_trace_review,selected onset 주변 raw/audit trace와 terminal progression을 사람이 확인,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,,2025-08-16,0,prealarm_cond_hs_mid_or_hi,43,384,BR008: supported context requires raw/audit review before any operator-facing promotion
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,2025-01-29,2025-10-26,270,prealarm_cond_hs_mid_or_hi,44,350,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,2025-01-29,2025-10-26,270,prealarm_cond_dtw_mid_or_hi,49,406,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6,e089076c-92c1-4365-8641-2182b4f274e6.1.9,2024-11-29,2025-02-12,75,prealarm_cond_ae_mid_or_hi,75,5,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,2025-01-29,2025-10-26,270,pre_ews,262,1079,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,2025-01-29,2025-10-26,270,pre_ews,336,730,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,2025-01-29,2025-10-26,270,pre_ews,143,804,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,2025-01-29,2025-10-26,270,pre_ews,274,1026,BR008: G1 degradation backdate guard candidate; shadow suppression review only
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0.17,,2025-11-17,0,prealarm_cond_hs_mid_or_hi,49,21,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.0,,2025-11-12,0,prealarm_cond_ae_mid_or_hi,125,47,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.5,,2025-11-11,0,prealarm_cond_hs_mid_or_hi,95,21,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
