branch,sequence_no,runway_stage,status,depends_on,entry_gate,planned_output,exit_gate,blocked_by,next_action,operator_facing_change
BR-20260425-128,1,runway_queue_lock,complete_this_branch,BR-127,"BR-127 complete; real rows may still be 0","BR-128..BR-150 execution queue and open/blocked status","queue has 23 rows, no missing sequence, every blocked stage has explicit unblock condition","none","Use this queue as the order tracker before opening BR-129",no
BR-20260425-129,2,real_capture_intake_contract,complete_this_branch,BR-128,"KTC ESS real CSV may be absent; contract can still be built fail-closed","real capture intake input contract and dry-run validator","dry-run blocks missing CSV and documents required columns/path policy","real KTC ESS CSV not supplied","Use the BR-129 contract; rerun with --capture-input only after the real bundle arrives",no
BR-20260425-130,3,real_capture_intake_run,blocked_waiting_real_data,BR-129,"user supplies real KTC ESS CSV/capture bundle","real capture intake outputs and schema validation report","returned rows are schema-valid or blocked with issues","real KTC ESS CSV/capture bundle absent","Wait for user-provided CSV/capture bundle",no
BR-20260425-131,4,source_evidence_resolver_contract,complete_this_branch,BR-128,"BR-127 exists; resolver contract can be built before real rows","source/evidence resolver contract for raw slices, evidence files, path status","contract rows 6; missing real rows fail closed; fixture proves good path opens and bad paths block","real KTC ESS intake rows absent","Use BR-131 contract; BR-132 waits for BR-130 real intake rows",no
BR-20260425-132,5,source_evidence_resolver_run,blocked_waiting_real_data,"BR-130; BR-131","real intake rows exist","source/evidence resolver outputs with raw slices and evidence refs","all candidate rows have source trace or explicit blocked issue","real intake rows absent","Run after BR-130 real capture intake",no
BR-20260425-133,6,common_cause_clearance_contract,complete_this_branch,BR-128,"common-cause gate rules already exist; contract can be built fail-closed","common-cause clearance contract for site/root/peer breadth","contract rows 6; missing source/evidence rows fail closed; fixture proves cleared row opens and uncleared row blocks","real source/evidence rows absent","Use BR-133 contract; BR-134 waits for BR-132 real source/evidence rows",no
BR-20260425-134,7,common_cause_clearance_run,blocked_waiting_real_data,"BR-132; BR-133","resolved source/evidence rows exist","common-cause clearance rows","panel-local eligibility set only when site/root/peer blockers cleared","real resolved rows absent","Run after source/evidence resolver",no
BR-20260425-135,8,artifact_mlpe_control_clearance_contract,complete_this_branch,BR-128,"artifact/MLPE taxonomy and checklist already exist","measurement artifact and MLPE-control clearance contract","contract rows 7; missing source/evidence rows fail closed; fixture proves clean row opens and timestamp/communication/telemetry/MLPE/control blockers block","real source/evidence rows and returned telemetry absent","Use BR-135 contract; BR-136 waits for BR-132 real source/evidence rows and returned telemetry",no
BR-20260425-136,9,artifact_mlpe_control_clearance_run,blocked_waiting_real_data,"BR-132; BR-135","resolved source/evidence rows and returned telemetry fields exist","artifact/MLPE-control clearance outputs","truth-sidecar eligibility only when artifact/control blockers cleared","real resolved rows and returned telemetry absent","Run after real evidence resolver and returned telemetry availability",no
BR-20260425-137,10,sidecar_truth_package_contract,complete_this_branch,BR-127,"BR-127 output schema exists; package contract can be built fail-closed","sidecar truth package contract and write-boundary rules","contract rows 8; current materialization rows 0 so package rows 0; fixture proves one clean row opens and clearance/payload/write-boundary blockers block","real package candidate rows and clearance rows absent","Use BR-137 contract; BR-138 waits for BR-134/BR-136 clearance rows plus sidecar package input",no
BR-20260425-138,11,sidecar_truth_package_run,blocked_waiting_clearance,"BR-134; BR-136; BR-137","clearance rows and BR-127 candidates exist","sidecar truth package candidates","all package rows have source/evidence/clearance/write-boundary complete and approvals 0","no BR-127 passed candidates; real clearance rows absent","Run only after real precheck and clearance rows exist",no
BR-20260425-139,12,truth_replay_scorecard_contract,complete_this_branch,BR-128,"existing result-delta scorecard and replay principles exist","truth replay scorecard contract for baseline vs candidate","contract rows 10; current sidecar truth events 0 so metric rows 0; fixture proves metrics compute while performance claim remains blocked","sidecar truth rows absent","Use BR-139 contract; BR-140 waits for sidecar truth package rows plus baseline/candidate replay outputs",no
