review_priority,promotion_decision_bucket,recommended_action,review_focus_ko,site,panel_root,panel_id,패널고장여부_ko,사건유형_재판정_ko,최종고장양상_재판정_ko,retrospective_onset_date,strict_trigger_date,gap_days,onset_method,degradation_onset_backdate_guard_flag,secondary_window_change_class,secondary_window_review_tier,secondary_window_selected_onset_date,secondary_window_selected_marker,secondary_window_selected_gap_days,secondary_window_qualified_count,secondary_window_too_early_count,site_event_history_flag,subgroup_common_cause_history_flag,common_cause_history_flag,strict_trigger_proximal_common_cause_flag,trigger_proximal_common_cause_flag,promotion_decision_reason
1,hold_shadow_only,keep_shadow_until_raw_support,DTW-only onset 근거를 raw/audit trace로 재확인하기 전까지 운영 승격 금지,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.14,고장,급작 고장,급작 발생,,2025-10-26,0,runtime_trigger_only,0,trigger_only_to_precursor,review_supported_context,2025-06-28,prealarm_cond_dtw_mid_or_hi,120,89,408,1,0,1,1,1,"BR008: supported context exists, but selected onset is DTW prealarm with zero independent onset-window signal"
1,hold_shadow_only,keep_shadow_until_raw_support,DTW-only onset 근거를 raw/audit trace로 재확인하기 전까지 운영 승격 금지,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.17,고장,급작 고장,급작 발생,,2025-10-26,0,runtime_trigger_only,0,trigger_only_to_precursor,review_supported_context,2025-07-07,prealarm_cond_dtw_mid_or_hi,111,43,428,1,0,1,1,1,"BR008: supported context exists, but selected onset is DTW prealarm with zero independent onset-window signal"
2,manual_review,raw_audit_trace_review,selected onset 주변 raw/audit trace와 terminal progression을 사람이 확인,gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,고장,급작 고장,급작 발생,,2025-10-27,0,runtime_trigger_only,0,trigger_only_to_precursor,review_supported_context,2025-06-29,pre_ews,120,648,67,1,0,1,0,1,BR008: supported context requires raw/audit review before any operator-facing promotion
2,manual_review,raw_audit_trace_review,selected onset 주변 raw/audit trace와 terminal progression을 사람이 확인,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,고장,급작 고장,급작 발생,,2025-08-16,0,runtime_trigger_only,0,trigger_only_to_precursor,review_supported_context,2025-04-20,prealarm_cond_hs_mid_or_hi,118,43,384,1,0,1,0,0,BR008: supported context requires raw/audit review before any operator-facing promotion
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.1.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-06-28,prealarm_cond_hs_mid_or_hi,120,44,350,1,0,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-07-04,prealarm_cond_dtw_mid_or_hi,114,49,406,1,0,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6,e089076c-92c1-4365-8641-2182b4f274e6.1.9,고장,전조형 고장,진행성 악화,2024-11-29,2025-02-12,75,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2024-10-15,prealarm_cond_ae_mid_or_hi,120,75,5,1,1,1,0,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.13,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-06-28,pre_ews,120,262,1079,1,1,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.15,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-06-28,pre_ews,120,336,730,1,1,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-06-28,pre_ews,120,143,804,1,1,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
3,backdate_suppression_candidate,suppression_guard_review,degradation fallback backdating을 억제할지 fresh rerun 기준으로 검토,ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,고장,전조형 고장,진행성 악화,2025-01-29,2025-10-26,270,anom_subtype:degradation,1,g1_degradation_fallback_replaced_by_secondary,audit_no_event_flip,2025-06-28,pre_ews,120,274,1026,1,1,1,1,1,BR008: G1 degradation backdate guard candidate; shadow suppression review only
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.0.17,고장,급작 고장,급작 발생,,2025-11-17,0,runtime_trigger_only,0,trigger_only_to_precursor,review_persistent_secondary_only,2025-07-20,prealarm_cond_hs_mid_or_hi,120,49,21,0,0,1,0,0,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.0,고장,급작 고장,급작 발생,,2025-11-12,0,runtime_trigger_only,0,trigger_only_to_precursor,review_persistent_secondary_only,2025-07-15,prealarm_cond_ae_mid_or_hi,120,125,47,0,0,1,0,0,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
4,blocked_cluster_risk,counterexample_cluster_review,동일 root cluster의 persistent secondary-only false-positive 위험을 반례로 유지,gangui,4fd0c566-e25e-4d51-96ca-57cc46940593,4fd0c566-e25e-4d51-96ca-57cc46940593.3.5,고장,급작 고장,급작 발생,,2025-11-11,0,runtime_trigger_only,0,trigger_only_to_precursor,review_persistent_secondary_only,2025-07-17,prealarm_cond_hs_mid_or_hi,117,95,21,0,0,1,0,0,BR008: persistent secondary-only candidate; blocked from promotion by cluster false-positive risk
