family_key,family_label_ko,subtype_key,subtype_label_ko,primary_signature_ko,secondary_signature_ko,negative_signature_ko,minimum_evidence_shadow_ko,recommended_shadow_action,notes_ko
degradation_soiling_shadow,열화·오염·음영 계열,progressive_soiling_or_degradation,누적 오염·열화형,"mid_ratio 또는 전류/출력 저하가 여러 날 누적됨","중간 구간에도 약한 저하가 반복되거나 회복이 불완전함","하루 단독 저하 뒤 장기간 정상","2일 이상 저하 또는 3일 이상 low-mid 재발",shadow_subtype_candidate,"BR-017의 duration/continuity 축을 subtype으로 세분화"
degradation_soiling_shadow,열화·오염·음영 계열,local_shading_pattern,국소 음영 패턴형,"낮 시간대 특정 구간에서 반복적인 저하 패턴","계절/시간대 반복성이 있고 site-wide 동시성은 낮음","site 전체가 같은 날 동시에 흔들림","동일 시간대 또는 유사 곡선 형태 2회 이상",shadow_subtype_candidate,"음영은 긴 전조보다 반복 시간대 패턴이 더 중요할 수 있음"
degradation_soiling_shadow,열화·오염·음영 계열,transient_environment_episode,일시 환경 episode형,"하루 또는 짧은 기간 저하 후 정상 복귀","site/root 동시성 또는 날씨성 episode 가능성","개별 패널만 장기 누적 저하","site/root 동시성 또는 빠른 복귀 확인",hold_episode_only,"개별 패널 전조 승격 전 공통 episode로 보류"
degradation_soiling_shadow,열화·오염·음영 계열,long_gap_one_day_stress,장기 gap 단일 저하 보류형,"strict trigger보다 오래 전 하루 단독 degradation","gap이 120일 초과이고 중간 대부분 정상","strict 직전 반복 저하가 존재","one-day + long-gap + recurrence 없음",block_precursor_backdating,"BR-016/017 G1 backdating 억제의 subtype 표현"
open_connection_partial,접속 불량·부분 개방 계열,intermittent_contact_resistance,간헐 접촉저항형,"평소 정상이다가 조건부 급락이 재발","급락 뒤 복귀가 빠르고 유사 형태가 반복","한 번만 발생하거나 site 전체 동시 발생","유사 abrupt/open-like episode 2회 이상",manual_review_candidate,"지속성보다 재발성과 형태 유사성이 중요"
open_connection_partial,접속 불량·부분 개방 계열,partial_open_circuit,부분 개방 진행형,"open-like 또는 fault-like 상태가 strict 근처로 이어짐","event_A/fault_like가 trigger에 가까워짐","중간 장기간 완전 정상이고 재발 없음","strict 근접 fault_like 또는 open-like 반복",shadow_subtype_candidate,"급작 종료와 연결될 수 있으나 단독 승격 금지"
open_connection_partial,접속 불량·부분 개방 계열,connector_terminal_fuse_event,커넥터·단자·퓨즈 계열 의심형,"전류/출력 급락이 전압 패턴과 함께 비정상적으로 나타남","동일 root 일부 패널 또는 특정 string에서 재현","센서 dropout/freeze 형태와 더 잘 맞음","VI shape + 재발성 + 낮은 site-wide 동시성",manual_review_candidate,"현장 점검 친화 이름으로 보류"
diode_substring,다이오드·서브스트링 계열,bypass_diode_activation_or_fault,bypass diode 동작·고장 의심형,"전압은 상대 유지되고 전류/출력 저하가 특정 패턴으로 반복","낮 시간대 곡선 단차 또는 substring-like 저하","site-wide irradiance/common event와 동시","VI ratio shape + 곡선 형태 재현",manual_review_candidate,"긴 전조가 아니어도 subtype 후보가 될 수 있음"
diode_substring,다이오드·서브스트링 계열,substring_current_limit,서브스트링 전류 제한형,"특정 출력단 또는 전류 제한처럼 보이는 반복 저하","mid_i_ratio 저하가 mid_v_ratio보다 두드러짐","계측 채널 불일치 또는 센서 scale 문제","mid_v/mid_i ratio pattern + 2회 이상",shadow_subtype_candidate,"전압/전류 ratio 분리가 핵심"
diode_substring,다이오드·서브스트링 계열,local_cell_damage_proxy,국소 셀 손상 proxy형,"국소 패턴과 strict trigger 근접 이상이 함께 보임","전류/출력 저하가 반복되고 회복이 약함","하루 단독 환경 episode","VI shape + recurrence + strict proximity",manual_review_candidate,"thermal/hotspot 직접 데이터 없으므로 proxy로만 표기"
measurement_feedback,센서·피드백·계측 이상 계열,sensor_scale_drift,센서 scale drift형,"한 채널 비율이 비현실적으로 일정하게 틀어짐","패널 물리 패턴보다 계측 채널 불일치가 큼","VI/출력 모든 채널이 물리적으로 일관된 고장 패턴","채널 불일치 + drift 지속",hold_episode_only,"패널 고장 라벨로 직접 승격 금지"
measurement_feedback,센서·피드백·계측 이상 계열,sensor_dropout_or_freeze,센서 dropout·freeze형,"값이 0 또는 고정값으로 떨어졌다가 급복귀","물리적으로 불가능한 jump 또는 flatline","낮 시간대 곡선이 자연스럽게 저하","dropout/freeze 패턴 1회 이상 + 복귀",hold_episode_only,"고장 전조가 아니라 데이터 품질 episode 가능성"
measurement_feedback,센서·피드백·계측 이상 계열,timestamp_or_channel_mismatch,timestamp·채널 매칭 이상형,"채널 간 시간/스케일 불일치가 주된 설명","동일 시간대 다른 계측과 어긋남","패널 단위 반복 고장 형태가 명확함","채널 불일치 evidence",hold_episode_only,"runtime 판정 전 data QA 쪽으로 분리"
external_common_cause,외부계통·공통원인 계열,site_wide_grid_or_inverter_disturbance,site-wide grid/inverter 교란형,"같은 날 여러 패널이 동시에 흔들림","site_event_A 또는 root 동시성이 높음","개별 패널만 반복적으로 악화","site/root 동시성 threshold hit",block_individual_precursor,"개별 패널 전조 승격 금지"
external_common_cause,외부계통·공통원인 계열,root_mppt_group_common,root·MPPT group 공통 episode형,"같은 root/group 일부 패널이 동시에 움직임","group_event_fraction이 높음","단일 패널만 여러 날 반복","group fraction 또는 subgroup common cause",block_individual_precursor,"개별 패널보다 group episode로 관리"
external_common_cause,외부계통·공통원인 계열,weather_irradiance_common_episode,날씨·일사 공통 episode형,"다수 패널의 동시 저하와 빠른 복귀","일시적이고 넓은 범위에서 유사","특정 패널만 장기간 누적 저하","site-wide 동시성 + 빠른 복귀",hold_episode_only,"운영 라벨은 공통 episode로 유지"
strict_anchor_sudden,strict trigger anchored sudden fault,strict_trigger_sudden_fault,strict 근접 급작형,"strict trigger 근처에만 fault-like/final이 집중","이전 신호는 없거나 단일 episode로 분리됨","strict 이전 반복 전조가 명확함","strict proximity + no confirmed recurrence",no_precursor_promotion,"전조 없음 또는 전조 불충분으로 둠"
