priority,source_doc,gate_name,gate_scope,blocks_until_passed,pass_condition,next_action
P0,BR-079 algorithm evolution map,fault_subtype_truth_gate,algorithm_evidence_gap,operator-facing subtype label or performance claim,Subtype truth has reviewed positive/negative support and multi-axis evidence by family,Build/review subtype truth support before subtype labels or subtype performance claims.
P0,BR-079 algorithm evolution map,episode_ground_truth_gate,algorithm_evidence_gap,precursor onset threshold patch,Episode truth and onset basis are reviewed with source traces and adjudication notes,Use episode truth before onset threshold replay or onset semantics changes.
P0,BR-079 algorithm evolution map,independent_physical_confirmation_gate,algorithm_evidence_gap,voltage-axis threshold loosening,Exact-panel physical or field confirmation is attached independently of raw waveform support,Attach measurement/inspection/maintenance evidence before voltage/submodule threshold changes.
P0,BR-079 algorithm evolution map,official_current_common_cause_bridge_gate,algorithm_evidence_gap,common-cause semantic loosening,Official/current common-cause bridge is traceable and not raw-only/date-displaced,Keep common-cause as blocker/regression material until bridge closes.
P1,BR-079 algorithm evolution map,threshold_calibration_gate,algorithm_evidence_gap,threshold update,P0 truth/episode/physical/common-cause gates are closed and replay has enough positives/negatives,Run family/subtype threshold replay only after P0 evidence gates pass.
P1,BR-079 algorithm evolution map,ae_role_boundary_gate,algorithm_evidence_gap,AE-based root-cause claim,AE remains candidate/morphology signal unless role boundary is proven against truth/counterexamples,Use AE as signal only until role boundary is validated.
P2,BR-079 algorithm evolution map,monolithic_engine_maintainability_gate,algorithm_evidence_gap,large refactor mixed with semantics,Refactor is separated from semantic change and passes no-drift/safety checks,Do maintainability refactors separately from rule semantics.
P0,BR-101 MLPE field-trial taxonomy,normal_clear_day_baseline,field_trial_injection_matrix,field-trial benchmark without negative/reference anchor,Clean baseline is captured with peer/weather/timestamp quality,Use as negative/reference anchor for all injected cases.
P0,BR-101 MLPE field-trial taxonomy,partial_shading_panel_local,field_trial_injection_matrix,panel-local environmental loss not learnable,Panel-local partial shading event is captured with peers to separate common irradiance,Use as panel-local shading/environment case.
P0,BR-101 MLPE field-trial taxonomy,uniform_soiling_or_cover,field_trial_injection_matrix,slow broad output reduction not learnable,Uniform cover/soiling event is captured with injection strength and recovery,Use as slow external loss case.
P0,BR-101 MLPE field-trial taxonomy,high_contact_resistance_or_series_resistance,field_trial_injection_matrix,connection/degradation-like distortion not learnable,Resistance/series-distortion case is captured with V/I/P shape,Use as connection/degradation counter-support case.
P0,BR-101 MLPE field-trial taxonomy,partial_open_or_full_open,field_trial_injection_matrix,abrupt strict-trigger/recovery logic not learnable,Partial/full open case is captured with start/end/recovery evidence,Use as abrupt/no-precursor anchor.
P0,BR-101 MLPE field-trial taxonomy,bypass_diode_or_substring_loss,field_trial_injection_matrix,submodule voltage/current pattern not learnable,Bypass/submodule event is captured with voltage/current ratio and substring evidence,Use as submodule family anchor.
P0,BR-101 MLPE field-trial taxonomy,optimizer_current_limit_or_clipping,field_trial_injection_matrix,MLPE control counterexample missing,Optimizer current-limit/clipping is captured with optimizer state and limit settings,Use as MLPE-control non-panel-physical counterexample.
P0,BR-101 MLPE field-trial taxonomy,telemetry_dropout_or_stuck_value,field_trial_injection_matrix,measurement artifact counterexample missing,Dropout/stuck telemetry is captured with communication/timestamp quality,Use as measurement-artifact blocker case.
P0,BR-101 MLPE field-trial taxonomy,group_or_inverter_curtailment,field_trial_injection_matrix,group-side counterexample missing,Group/inverter curtailment is captured with peer breadth/root evidence,Use as group-side false-promotion blocker.
P0,BR-101 MLPE field-trial taxonomy,site_or_root_common_cause_event,field_trial_injection_matrix,site/root common-cause counterexample missing,Site/root common event is captured with multi-panel synchrony and cause metadata,Use as common-cause false-promotion blocker.
P1,BR-101 MLPE field-trial taxonomy,mppt_tracking_anomaly,field_trial_injection_matrix,MLPE MPPT mimic case missing,MPPT anomaly is captured with optimizer/control state and raw shape,Use after P0 cases to refine MLPE-control taxonomy.
P1,BR-101 MLPE field-trial taxonomy,rapid_shutdown_or_safety_state,field_trial_injection_matrix,rapid shutdown mimic case missing,Rapid-shutdown/safety-state case is captured with state transition evidence,Use after P0 cases to refine abrupt-vs-system semantics.
P1,BR-101 MLPE field-trial taxonomy,degradation_emulation,field_trial_injection_matrix,durable precursor tuning material thin,Durable degradation emulation is captured with persistence/recovery evidence,Use after P0 safety cases to calibrate precursor thresholds.
P2,BR-101 MLPE field-trial taxonomy,compound_fault,field_trial_injection_matrix,unknown/compound routing not validated,Compound event is captured only after single-family controls exist,Use as forced-single-label resistance test.
