target_fault_or_anomaly_ko,detection_signal_or_pattern_ko,primary_layer_ko,supporting_layers_csv,key_features_or_patterns_ko,final_output_field_ko,coverage_level_ko,note_ko
패널고장여부,대표 panel verdict fault gating,panel multiaxis verdict,conalog 해석층,"사건유형, 사건이력, 전조흔적, 순수급작, 운영 evidence",패널고장여부_ko,직접커버,"현재 frozen integrated summary 기준 total_panel_count=25, fault_panel_count=6 이며 primary status field를 직접 생성함"
전조형 고장,precursor-bearing event pattern,사건유형/고장양상 판단,"panel multiaxis verdict,conalog 해석층","retrospective onset, strict trigger, precursor truth membership",사건유형_ko,직접커버,사건유형_ko 축에서 직접 표기되는 current frozen event family 중 하나임
급작 고장,abrupt no-precursor event pattern,사건유형/고장양상 판단,"panel multiaxis verdict,conalog 해석층","pure abrupt membership, abrupt event map, event audit rule",사건유형_ko,직접커버,사건유형_ko 축에서 직접 표기되는 current frozen event family 중 하나임
진행성 악화,progressive terminal deterioration pattern,사건유형/고장양상 판단,panel multiaxis verdict,전조형 사건의 terminal pattern split,최종고장양상_ko,직접커버,최종고장양상_ko 축에서 직접 표기되는 terminal pattern 임
급격 종료,abrupt terminal stop after precursor-bearing event,사건유형/고장양상 판단,panel multiaxis verdict,전조형 사건 후 급격 종료 규칙,최종고장양상_ko,직접커버,최종고장양상_ko 축에서 직접 표기되는 terminal pattern 임
급작 발생,pure abrupt terminal onset,사건유형/고장양상 판단,panel multiaxis verdict,급작 고장 lane의 terminal pattern,최종고장양상_ko,직접커버,최종고장양상_ko 축에서 직접 표기되는 terminal pattern 임
conalog 다이오드형,conalog direct operational interpretation for diode-like pattern,conalog 해석층,panel multiaxis verdict,전압 변화형 안의 diode-like interpretation,커널로그_원인군_ko,직접커버,conalog는 direct operational interpretation layer 이므로 current frozen output에 직접 부착됨
conalog 개방/장치이상형,conalog direct operational interpretation for open or device issue,conalog 해석층,panel multiaxis verdict,개방/장치이상 signature,커널로그_원인군_ko,직접커버,conalog는 direct operational interpretation layer 이므로 current frozen output에 직접 부착됨
conalog 모듈손상형,conalog direct operational interpretation for module-damage-like pattern,conalog 해석층,panel multiaxis verdict,모듈손상 signature,커널로그_원인군_ko,직접커버,conalog는 direct operational interpretation layer 이므로 current frozen output에 직접 부착됨
GPVS reference attach,external GPVS reference pattern attach and usage recommendation,GPVS reference layer,"panel multiaxis verdict,conalog 해석층","reference-only attach, core/auxiliary recommendation, compatibility guard",GPVS_최종사용권고_ko,보조커버,"GPVS evidence summary 기준 core_reference_count=2, auxiliary_reference_count=4 이며 reference-only attach layer로만 사용함"
heuristic suspected-cause ranking,triage-only suspected cause ranking and competition note,cause candidate heuristic,"panel multiaxis verdict,conalog 해석층,GPVS reference layer","top1/top2/top3 ranking, competition state, field-trial action note",1순위_의심원인_ko|2순위_의심원인_ko|3순위_의심원인_ko,보조커버,cause candidate summary 기준 fault_panel_count=6 이며 triage-only suspected-cause narrowing layer로만 사용함
