site,panel_id,사건유형_ko,사건유형_해석_ko,최종고장양상_ko,대표판정_ko,사건이력_ko,전조흔적_flag,순수급작_flag,전조평가셋편입_flag,급작평가셋편입_flag,해석대평가차이_ko,운영최초전조발견일,운영최초전조마커,사건해석상전조시작일,benchmark전조시작일,전조형이력_flag,급작고장이력_flag,공통원인이력_flag,반복이상이력_flag,패널고장여부_ko,GPVS_적용대상_ko,커널로그_증상명_ko,커널로그_원인군_ko,GPVS_부착상태_ko,GPVS_내부참고유형_ko,GPVS_외부참조패턴_ko,GPVS_참조사용등급_ko,GPVS_참조설명_ko,세부fault_type_code,세부fault_type_label_ko,세부fault_부착상태_ko,세부fault_근거파일_ko,세부fault_기준일,세부fault_보류사유_ko,운영위치_ko,판정주의_ko
conalog,45dfa600-79b7-428e-95d3-22345a068986.1.0,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,45dfa600-79b7-428e-95d3-22345a068986.2.0,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,전조형 고장,전조형 고장,진행성 악화,전조형 고장,전조형 고장,1,0,1,0,,2024-11-08,first_cond_evt,2024-11-06,2024-11-08,1,0,0,0,고장,적용대상,전압 변화형,다이오드형,부착,전기적 고장 계열,국소 출력 불균형형,주의참고,"일부 패널의 출력 균형이 깨지는 패턴으로, 부분 음영뿐 아니라 오염·열화·다이오드/접속 이상 등과 유사하게 보일 수 있음",,,보류,,2024-11-26,no_exact_date_match,현재 workflow 미포함,"전조형 고장 축은 current closeout 기준 exploratory 범위로만 읽는다. 커널로그 원인군은 abrupt6 symptom map의 `다이오드형` 를 연결했다. 사건유형=전조형 고장, 최종고장양상=진행성 악화 사건이력=전조형 고장 precursor onset truth positive universe 포함; fault panel event audit explicit rule 적용; 현재 workflow default row에는 아직 없음 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F4L, score=0.7663980163772397, margin=0.5351956345952494 fault panel event audit 재판정=전조형 고장/진행성 악화 retrospective_onset_date 비공란, strict_trigger_date 비공란, retrospective_onset_date < strict_trigger_date, onset_confidence=high, onset_method=persistent_5of7 이 모두 성립; 사건유형_재판정_ko == 전조형 고장 이고 급격 종료 규칙은 아니므로 진행성 악화로 둠; abrupt_positive_evidence_flag=1; strict precursor truth positive 포함; vendor_fault_family=diode_like, vendor_reply_class=vendor_pattern_positive 운영상 최초 전조 발견=2024-11-08 (first_cond_evt) / 사건 해석상 전조 시작=2024-11-06 / benchmark 전조 시작=2024-11-08"
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.0,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.1,불충분,불충분,불충분,불충분,,0,0,0,0,,,,,,0,0,0,0,미확정,비대상,불충분,불충분,비대상,,,,,,,비대상,,,,바로 확인,"현재 stored positive universe와 직접 연결되지 않아 사건 성격을 보수적으로 유지한다. 현재 stored field로 커널로그 증상축을 더 붙이기 어렵다. 사건유형=불충분, 최종고장양상=불충분 사건이력 없음 workflow current row 기반 fallback verdict 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.1.1,전조형 고장,전조형 고장,급격 종료,전조형 고장,전조형 고장(급격 종료),1,0,1,0,,2025-02-20,first_cond_evt,2025-01-20,2025-03-18,1,0,0,0,고장,적용대상,전압 변화형,개방/장치이상형,부착,개방/장치이상 계열,장치 응답 이상형,비권장,"센서/피드백 오류로 장치 응답이 어긋나는 패턴으로, 패널 물리 파손보다 장치 응답 이상 힌트로 해석",,,보류,,2025-03-21,no_exact_date_match,현재 workflow 미포함,"이 panel은 전조형 사건 한 건이 마지막에 급격 종료로 끝난 것으로 읽는다. event type과 terminal failure pattern은 분리해서 해석해야 한다. 커널로그 원인군은 abrupt6 symptom map의 `개방/장치이상형` 를 연결했다. 사건유형=전조형 고장, 최종고장양상=급격 종료 사건이력=전조형 고장(급격 종료) precursor onset truth positive universe 포함; single-panel forensic explicit rule 적용; fault panel event audit explicit rule 적용; 현재 workflow default row에는 아직 없음 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F2M, score=0.9999684297851252, margin=0.999937980965936 fault panel event audit 재판정=전조형 고장/급격 종료 retrospective_onset_date 비공란, strict_trigger_date 비공란, retrospective_onset_date < strict_trigger_date, onset_confidence=high, onset_method=persistent_5of7 이 모두 성립; first_final_fault_date == strict_trigger_date 이고 dead_diag_date <= strict_trigger_date + 1 day; abrupt_positive_evidence_flag=1; strict precursor truth positive 포함; vendor_fault_family=open_or_device_issue_like, vendor_reply_class=vendor_likely_positive explicit stored-field rule onset=2025-01-20, trigger=2025-03-21 stored-field rule 기준 retrospective_onset_date<strict_trigger_date, onset_confidence=high, onset_method=persistent_5of7 이라 전조형 고장으로 읽고 최종고장양상은 급격 종료로 둔다 현재 재감사 family hint=개방/장치이상형 (open_or_device_issue_like) 운영상 최초 전조 발견=2025-02-20 (first_cond_evt) / 사건 해석상 전조 시작=2025-01-20 / benchmark 전조 시작=2025-03-18"
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.2.0,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.15,공통원인 이벤트,공통원인 이벤트,해당없음,공통원인 이벤트,공통원인 이벤트,0,0,0,0,,,,,,0,0,1,0,비고장,비대상,패턴 이상형,불충분,비대상,,,,,,,비대상,,,,현재 workflow 미포함,"공통원인 이벤트 축은 current closeout 기준 exploratory 범위로만 읽는다. 공통원인 representative verdict라 nearest symptom 축으로 패턴 이상형만 부착했다. 사건유형=공통원인 이벤트, 최종고장양상=해당없음 사건이력=공통원인 이벤트 common-cause descriptive positive universe 포함; 현재 workflow default row에는 아직 없음 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.16,공통원인 이벤트,공통원인 이벤트,해당없음,공통원인 이벤트,공통원인 이벤트,0,0,0,0,,,,,,0,0,1,0,비고장,비대상,패턴 이상형,불충분,비대상,,,,,,,비대상,,,,현재 workflow 미포함,"공통원인 이벤트 축은 current closeout 기준 exploratory 범위로만 읽는다. 공통원인 representative verdict라 nearest symptom 축으로 패턴 이상형만 부착했다. 사건유형=공통원인 이벤트, 최종고장양상=해당없음 사건이력=공통원인 이벤트 common-cause descriptive positive universe 포함; 현재 workflow default row에는 아직 없음 고장 패널이 아니어서 GPVS 적용 대상 아님"
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.17,공통원인 이벤트,공통원인 이벤트,해당없음,공통원인 이벤트,공통원인 이벤트,0,0,0,0,,,,,,0,0,1,0,비고장,비대상,패턴 이상형,불충분,비대상,,,,,,,비대상,,,,현재 workflow 미포함,"공통원인 이벤트 축은 current closeout 기준 exploratory 범위로만 읽는다. 공통원인 representative verdict라 nearest symptom 축으로 패턴 이상형만 부착했다. 사건유형=공통원인 이벤트, 최종고장양상=해당없음 사건이력=공통원인 이벤트 common-cause descriptive positive universe 포함; 현재 workflow default row에는 아직 없음 고장 패널이 아니어서 GPVS 적용 대상 아님"
