owner_branch,trial_event_id,site,root_id,panel_id,mlpe_device_id,start_ts,end_ts,capture_status,injection_case,planned_fault_family,planned_fault_subtype,affected_scope,injection_mode,injection_strength,expected_signature,planned_panel_local_flag,planned_common_cause_flag,planned_measurement_artifact_flag,mlpe_state,raw_data_path,peer_data_path,weather_data_path,waveform_slice_path,timestamp_quality,communication_quality,final_fault_family,final_fault_subtype,final_truth_confidence,final_label_attached,label_status,operator_promotion_allowed,engine_patch_allowed,threshold_patch_allowed,reviewer,review_note
BR-20260425-102,BR102-MFTC-001,,,,,,,planned,normal_clear_day_baseline,normal,normal_clear_day_baseline,panel,observed_only,,normal_reference,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-002,,,,,,,planned,partial_shading_panel_local,panel_surface_environment_fault,partial_shading,panel,environment,,i_drop_v_preserved,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-003,,,,,,,planned,uniform_soiling_or_cover,panel_surface_environment_fault,uniform_soiling,panel,environment,,p_drop_both,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-004,,,,,,,planned,high_contact_resistance_or_series_resistance,connection_or_open_fault,high_contact_resistance,panel,electrical_emulator,,voltage_current_ratio_shift,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-005,,,,,,,planned,partial_open_or_full_open,connection_or_open_fault,partial_open,panel,electrical_emulator,,zero_or_near_zero_output,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-006,,,,,,,planned,bypass_diode_or_substring_loss,panel_electrical_submodule_fault,substring_loss,substring,electrical_emulator,,voltage_current_ratio_shift,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-007,,,,,,,planned,optimizer_current_limit_or_clipping,mlpe_device_or_control_fault,optimizer_current_limit,panel,mlpe_control,,i_drop_v_preserved,0,0,0,clipping,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-008,,,,,,,planned,telemetry_dropout_or_stuck_value,measurement_or_communication_artifact,telemetry_dropout,panel,telemetry,,stale_or_missing_telemetry,0,0,1,dropout,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-009,,,,,,,planned,group_or_inverter_curtailment,inverter_or_group_side_fault,group_curtailment,root,observed_only,,multi_panel_synchronous_drop,0,1,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-010,,,,,,,planned,site_or_root_common_cause_event,site_common_cause_event,site_control_action,site,observed_only,,multi_panel_synchronous_drop,0,1,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-011,,,,,,,planned,mppt_tracking_anomaly,mlpe_device_or_control_fault,mppt_tracking_anomaly,panel,mlpe_control,,voltage_current_ratio_shift,0,0,0,mppt_anomaly,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-012,,,,,,,planned,rapid_shutdown_or_safety_state,mlpe_device_or_control_fault,rapid_shutdown_state,root,mlpe_control,,zero_or_near_zero_output,0,1,0,rapid_shutdown,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-013,,,,,,,planned,degradation_emulation,panel_physical_degradation_fault,degradation_emulation,panel,electrical_emulator,,p_drop_both,1,0,0,normal,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
BR-20260425-102,BR102-MFTC-014,,,,,,,planned,compound_fault,unknown_or_compound,compound_fault,unknown,observed_only,,unknown,0,0,0,unknown,,,,,unchecked,unchecked,,,,0,label_pending,0,0,0,,Template row; fill capture metadata during field trial. Final labels stay blank until adjudication.
