phase_id,br_range,branch_count,scope,current_state,next_dependency
PHASE-01,BR-001..BR-016,16,onset guard / G1 semantic path,"G1 backdating suppression was isolated, shadowed, previewed, then applied only to 6 strict-proximal-supported raw-only candidate runtime rows; operator-facing broad promotion is not opened.",Preserve G1 as backdating suppression only and keep cluster/secondary candidates review-gated.
PHASE-02,BR-017..BR-024,8,fault morphology / subtype blockers,"Fault family atlas, subtype hypotheses, blocker detail, and review packets exist; subtype production write remains 0.",Subtype evidence must stay shadow-only until episode truth and multi-axis support are available.
PHASE-03,BR-025..BR-039,15,evidence rubric / gap mapping,"Stable/runtime boundary, signal-role precedence, counterexample regression, exact-family closure rubric, and evidence-axis opportunity map are locked.",New evidence must be classified as exact closure/supportive hint/reservoir/backlog/structural blocker before rule discussion.
PHASE-04,BR-040..BR-051,12,confusion reduction / evidence sidecars,"Report-entry friction, recovery/recurrence, manifests, role boundary, mirror boundary, builder registry, common-cause synchrony, and cross-axis sync are reproducible sidecars.",Use manifests and sidecars as the default read base before adding more ad-hoc scans.
PHASE-05,BR-052..BR-063,12,panel-engine safety / no-drift validation,"Exact-family closure remains open; panel-engine safety gate, fault-family regression gate, result delta scorecard, compare layer, and one no-drift engine cleanup rehearsal exist.",Any future engine patch must pass safety/regression/scorecard checks before review.
PHASE-06,BR-064..BR-076,13,family judgment / physical confirmation / common-cause gates,"209 panels were split into judgment buckets; physical voltage rows lack independent confirmation; common-cause exact official/current closure remains 0; 3-gate prepatch runbook exists.",Acquire exact-panel physical evidence and preserve strong common-cause blockers before any threshold or semantic loosening.
PHASE-07,BR-077..BR-079,3,roadmap / handoff / algorithm map,"Project checkpoint, latest evidence handoff, and 10-layer algorithm evolution map are locked; 7 evidence gaps and 4 P0 gaps are explicit.",Follow ordered path: subtype truth, episode truth, threshold replay, 3-gate prepatch, then one shadow-applied rule candidate.
PHASE-08,BR-080..BR-090,11,subtype truth / episode truth / threshold replay pilot,"17 subtype truth backlog rows and 244 episode/truth-review rows were mapped; reviewer labels are mostly absent or conservative; threshold replay approval remains 0.",Collect/review episode truth and enough positive/negative subtype support before threshold tuning.
PHASE-09,BR-091..BR-100,10,voltage-preserved confirmation / unlabeled frontier,"Voltage-preserved candidates were searched and attached to raw refs; independent confirmation, truth intake, threshold, and engine approvals remain 0; unlabeled frontier shows 100 unlabeled rows and 8 strong persistent lead candidates.",Clear physical evidence, common-cause, artifact, and counterexample blockers before adding new truth positives.
PHASE-10,BR-101..BR-125,25,MLPE field-trial capture / truth intake pipeline,"MLPE taxonomy, capture schema, readiness, handoff, return validation, label intake, truth gate, reviewer decision, future candidate package, and preflight validator are complete; current real capture/label/preflight rows remain 0.",Next branch should build source/evidence materialization precheck only after reviewed preflight candidates exist.
