skill_axis,current_status,input_basis,first_allowed_output,not_allowed_until_truth,why_this_is_not_guesswork,next_step
existing_ae_signal,already_present,"recon_error; ae_thr_used; is_ae_abn; is_ae_strong","evidence_vector column only","AE root-cause claim or subtype promotion","AE already exists as normal-pattern departure evidence; the backlog records its role boundary instead of inventing a new threshold.","keep as required morphology signal in fault-family evidence coverage matrix"
existing_dtw_signal,already_present,dtw_dist,"evidence_vector column only","DTW-only fault-family label","DTW already exists as curve-shape distance evidence and is not a replacement for AE; the matrix should preserve the separate role.","keep as required shape-deviation signal in fault-family evidence coverage matrix"
existing_hs_signal,already_present,hs_score,"evidence_vector column only","HS-only fault or artifact decision","HS already exists as instability/spike evidence; use it as support, not as a final cause.","keep as instability support in fault-family evidence coverage matrix"
existing_ews_signal,already_present,"pre_ews; ews_warning; pre_alarm; sustain_mins; recovered; coverage","evidence_vector column only","automatic precursor promotion or deletion","EWS already exists as persistence/recurrence evidence; the backlog prevents it from carrying onset, subtype, and promotion authority alone.","keep as persistence signal with episode review gate"
existing_rule_signal,already_present,"final_fault; critical flags; v_drop; mid_ratio; mid_v_ratio; mid_i_ratio","evidence_vector column only","new hard rule without replay","Rule evidence already exists; new hard thresholds need truth-sidecar replay first.","split hard vs soft/audit rule roles in evidence coverage matrix"
cp_transition_skill,partially_present,"cp_score; cp_alarm in conalog/gangui; raw V/I/P/day series for missing sites","shadow CP consistency table; no verdict change","onset rewrite or trigger override","CP is computed from observed transitions, not labels; initial use is schema/tri-site consistency and candidate timing evidence only.","make tri-site CP availability and missing-site handling explicit"
episode_state_skill,partially_present,"date; panel_id; sustain_mins; recovered; recovered_any; recovered_sustained; re_drop; coverage","shadow episode-state table; no event-type change","auto precursor/abrupt reclassification","Episode state is a deterministic grouping of observed alert/recovery/recur rows; it does not assert truth without review.","define normal/precursor/fault/recovery/recurrence states for audit rows"
peer_synchrony_skill,partially_present,"site; panel_id; group_key_ref; mid_peer; co_drop_frac; same-day/site-root panel breadth","shadow peer/common-cause synchrony score; no suppression","automatic panel-local suppression or common-cause promotion","Synchrony is count/rate evidence from same-date/site/root peers; it is a blocker/review aid until truth gates pass.","include peer breadth and timing clearance as blocking axis"
physical_invariant_skill,partially_present,"raw date_time; i_out (A); v_in (V); v_out (V); p (W); energy (Wh); die_temp (C)","shadow physical-consistency flags/ranks; no physical root-cause label","voltage/submodule threshold loosening or final physical confirmation","Raw V/I/P/energy/temp allow observable consistency checks; they are not independent field confirmation by themselves.","define invariant checks as evidence support and confirmation-request trigger"
artifact_quality_skill,partially_present,"date_time gaps; coverage; repeated/stale-like values; recovered; impossible-value checks","shadow artifact review flags; no candidate deletion","dropping precursor/fault rows or marking measurement artifact as final truth","Artifact flags are data-quality observations; without communication status or reviewed evidence they only request review.","define timestamp/coverage/stale/dropout flags and keep them non-destructive"
fault_family_evidence_vector,new_backlog,"AE; DTW; HS; EWS; Rule; CP; Episode; Peer; Physical; Artifact","one joined shadow/audit evidence vector for each candidate row","operator-facing fault-family label or performance claim","The vector only collects already-observed axes and missing-axis status; it avoids new conclusions before labels.","make this the order-0 output before materialization precheck"
shapelet_template_skill,later_shadow,"raw daily V/I/P curves plus reviewed/injected family templates","template-match audit after episode and physical axes are stable","template-only subtype label","Shapelets need positive/negative family examples; before labels they are only candidate morphology support.","defer until field-trial labels or controlled injections provide templates"
mlpe_telemetry_state_skill,field_trial_required,"optimizer state; MPPT/control state; current-limit/clipping; communication status; injection mode/strength","capture schema fields and clearance checks","direct MLPE-control verdict without returned telemetry","Current raw has V/I/P/temp but not full optimizer state; direct MLPE state requires field-trial capture.","keep as required KTC ESS field-trial collection axis"
supervised_classifier_skill,label_blocked,"reviewed labels; negatives; counterexamples; site/family splits","ablation experiment only","production classifier or accuracy claim","No real reviewed KTC labels exist yet; supervised learning would be leakage/overfit risk now.","run only after truth-sidecar has enough positives and negatives"
survival_hazard_skill,label_blocked,"reviewed event dates; lead-time labels; censoring definition","lead-time experiment only","N-day fault probability claim","Hazard modeling needs event labels and censoring; current work only prepares the schema.","defer until real label intake and replay evaluation"
